Run	GEO_Accession	Patient_ID	Accession	Title
SRR1294830	GSM1395737	MGH29	GSM1395737	MGH29_E03
SRR1294831	GSM1395738	MGH29	GSM1395738	MGH29_E04
SRR1294832	GSM1395739	MGH29	GSM1395739	MGH29_E05
SRR1294833	GSM1395740	MGH29	GSM1395740	MGH29_E06
SRR1294834	GSM1395741	MGH29	GSM1395741	MGH29_E07
SRR1294835	GSM1395742	MGH29	GSM1395742	MGH29_E08
SRR1294836	GSM1395743	MGH29	GSM1395743	MGH29_E09
SRR1294837	GSM1395744	MGH29	GSM1395744	MGH29_E10
SRR1294838	GSM1395745	MGH29	GSM1395745	MGH29_E11
SRR1294839	GSM1395746	MGH29	GSM1395746	MGH29_E12
SRR1294840	GSM1395747	MGH29	GSM1395747	MGH29_F01
SRR1294841	GSM1395748	MGH29	GSM1395748	MGH29_F02
SRR1294842	GSM1395749	MGH29	GSM1395749	MGH29_F03
SRR1294843	GSM1395750	MGH29	GSM1395750	MGH29_F04
SRR1294844	GSM1395751	MGH29	GSM1395751	MGH29_F05
SRR1294845	GSM1395752	MGH29	GSM1395752	MGH29_F06
SRR1294846	GSM1395753	MGH29	GSM1395753	MGH29_F07
SRR1294847	GSM1395754	MGH29	GSM1395754	MGH29_F08
SRR1294848	GSM1395755	MGH29	GSM1395755	MGH29_F09
SRR1294849	GSM1395756	MGH29	GSM1395756	MGH29_F10
SRR1294850	GSM1395757	MGH29	GSM1395757	MGH29_F11
SRR1294851	GSM1395758	MGH29	GSM1395758	MGH29_F12
SRR1294852	GSM1395759	MGH29	GSM1395759	MGH29_G01
SRR1294853	GSM1395760	MGH29	GSM1395760	MGH29_G02
SRR1294854	GSM1395761	MGH29	GSM1395761	MGH29_G03
SRR1294855	GSM1395762	MGH29	GSM1395762	MGH29_G04
SRR1294856	GSM1395763	MGH29	GSM1395763	MGH29_G05
SRR1294857	GSM1395764	MGH29	GSM1395764	MGH29_G06
SRR1294858	GSM1395765	MGH29	GSM1395765	MGH29_G07
SRR1294859	GSM1395766	MGH29	GSM1395766	MGH29_G08
SRR1294860	GSM1395767	MGH29	GSM1395767	MGH29_G09
SRR1294861	GSM1395768	MGH29	GSM1395768	MGH29_G10
SRR1294862	GSM1395769	MGH29	GSM1395769	MGH29_G11
SRR1294863	GSM1395770	MGH29	GSM1395770	MGH29_G12
SRR1294864	GSM1395771	MGH29	GSM1395771	MGH29_H01
SRR1294865	GSM1395772	MGH29	GSM1395772	MGH29_H02
SRR1294866	GSM1395773	MGH29	GSM1395773	MGH29_H03
SRR1294867	GSM1395774	MGH29	GSM1395774	MGH29_H04
